,index,city,state,males,females,age group 1,age group 2,age group 3,lat,lng,state_name,city_state
0,0,Abbeville,LA,1,0,0,0,1,29.9746502,-92.1342921,Louisiana,"Abbeville, Louisiana"
1,36,Algiers,LA,2,0,0,0,2,29.9510514,-90.08108877651911,Louisiana,"Algiers, Louisiana"
2,103,Ascension Parish,LA,1,0,0,0,1,30.20465845,-90.8896301065416,Louisiana,"Ascension Parish, Louisiana"
3,144,Avondale,LA,3,0,0,1,2,29.9129834,-90.2036869,Louisiana,"Avondale, Louisiana"
4,149,Baker,LA,1,0,0,0,1,30.5882429,-91.168163,Louisiana,"Baker, Louisiana"
5,175,Baton Rouge,LA,46,8,1,4,49,30.4507462,-91.154551,Louisiana,"Baton Rouge, Louisiana"
6,181,Bayou Vista,LA,1,1,0,0,2,30.2813059,-89.8175651,Louisiana,"Bayou Vista, Louisiana"
7,257,Blanchard,LA,1,0,0,0,1,32.580983,-93.8926813,Louisiana,"Blanchard, Louisiana"
8,284,Bossier City,LA,3,2,0,0,5,32.5064115,-93.65183813047341,Louisiana,"Bossier City, Louisiana"
9,285,Bossier City ,LA,1,0,0,0,1,32.5064115,-93.65183813047341,Louisiana,"Bossier City , Louisiana"
10,363,Caddo Parish,LA,1,0,0,0,1,32.60755,-93.9023891782652,Louisiana,"Caddo Parish, Louisiana"
11,367,Calcasieu Parish,LA,1,0,0,0,1,30.26537195,-93.3691697243836,Louisiana,"Calcasieu Parish, Louisiana"
12,401,Carencro,LA,2,0,0,0,2,30.317144,-92.0490096,Louisiana,"Carencro, Louisiana"
13,441,Chalmette,LA,1,0,0,0,1,29.9427037,-89.9634017,Louisiana,"Chalmette, Louisiana"
14,449,Charenton,LA,2,0,0,0,2,29.8815936,-91.5251127,Louisiana,"Charenton, Louisiana"
15,602,Covington,LA,1,0,0,0,1,30.4754702,-90.1009108,Louisiana,"Covington, Louisiana"
16,614,Creston,LA,1,0,0,0,1,31.9759941,-93.049884,Louisiana,"Creston, Louisiana"
17,620,Crowley,LA,1,0,0,0,1,30.2140928,-92.3745761,Louisiana,"Crowley, Louisiana"
18,659,DeRidder,LA,1,0,0,0,1,30.8463055,-93.2890528,Louisiana,"DeRidder, Louisiana"
19,684,Denham Springs,LA,2,0,0,0,2,30.4868564,-90.9562125,Louisiana,"Denham Springs, Louisiana"
20,706,Donaldsonville,LA,2,0,0,0,2,30.1010324,-90.9928774,Louisiana,"Donaldsonville, Louisiana"
21,738,Duson,LA,1,0,0,0,1,30.2357577,-92.1854035,Louisiana,"Duson, Louisiana"
22,741,East Baton Rouge,LA,1,0,0,0,1,30.4143987,-91.1774318,Louisiana,"East Baton Rouge, Louisiana"
23,768,Ebarb,LA,1,0,0,0,1,31.635777,-93.648603,Louisiana,"Ebarb, Louisiana"
24,773,Edgard,LA,1,0,0,0,1,30.0432578,-90.5600869,Louisiana,"Edgard, Louisiana"
